lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
Group_1,0.7,0.26,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0,0.11,1,0.5,0,0.18,1,1.0,0.15,1.0
Group_2,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_3,0,0.2,1,1.0,0,0.1,1,1.0,0,0,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0.7,0.27,1,1.0,0.18,0.67
Group_4,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.7,0,0,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.26,0
Group_5,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_6,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,0,0,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_7,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0,0,1,0.5,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.27,1.0
Group_8,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0.7,0,0,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.27,0
Group_9,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_10,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_11,0.7,0.36,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.17,0.67
Group_12,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_13,0.7,0.29,1,1.0,1.0,0.8,0,1.0,1.0,0.01,1,1.0,0.7,0.67,1,1.0,0.7,0.18,1,1.0,0.7,0.07,1,1.0,0.19,0.67
Group_14,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_15,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_16,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_17,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_18,0,0.02,1,0.5,0.7,0.32,1,1.0,0,0,1,0.5,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.28,0.33
Group_19,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.29,0.67
Group_20,0,0.02,1,0.5,0.7,0.32,1,1.0,0,0,1,0.5,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.28,0.33
Group_21,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_22,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_23,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_24,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_25,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.28,0.67
Group_26,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.28,0.67
Group_27,0,0.02,1,0.5,0.7,0.32,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.32,0.33
Group_28,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.33,0
Group_29,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.29,0
Group_30,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.31,1.0
Group_31,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.31,1.0
